"name","gender","birthday","state","party","class","start","end"
"Francis Malbone","M","1759-03-20","RI","Federalist",1,1809-05-22,1809-12-31
"Wilson Nicholas","M","1761-01-31","VA","Republican",2,1799-12-02,1805-03-03
"Jonathan Robinson","M","1756-08-11","VT","Republican",1,1807-10-26,1815-03-03
"Jenkin Whiteside","M","","TN","Republican",2,1809-05-22,1811-03-03
"Charles Cutts","M","1769-01-31","NH","Republican",3,1810-01-01,1813-03-03
"John Taylor","M","1770-05-04","SC","Republican",2,1810-01-01,1817-03-03
"Thomas Worthington","M","1773-07-16","OH","Republican",3,1803-10-17,1807-03-03
"Thomas Worthington","M","1773-07-16","OH","Republican",1,1810-01-01,1815-03-03
"James Bayard","M","1767-07-28","DE","Federalist",2,1804-01-01,1811-03-03
"James Bayard","M","1767-07-28","DE","Federalist",2,1811-11-04,1813-12-31
"William Crawford","M","1772-02-24","GA","Republican",2,1807-10-26,1811-03-03
"William Crawford","M","1772-02-24","GA","Republican",2,1811-11-04,1813-12-31
"William Giles","M","1762-08-12","VA","Republican",2,1804-01-01,1811-03-03
"William Giles","M","1762-08-12","VA","Republican",2,1811-11-04,1815-12-31
"Nicholas Gilman","M","1755-08-03","NH","Republican",2,1805-12-02,1811-03-03
"Nicholas Gilman","M","1755-08-03","NH","Republican",2,1811-11-04,1815-03-03
"Jeremiah Howell","M","1771-08-28","RI","Republican",2,1811-11-04,1817-03-03
"Samuel Mitchill","M","1764-08-20","NY","Republican",1,1804-01-01,1809-03-03
"James Turner","M","1766-12-20","NC","Republican",2,1805-12-02,1811-03-03
"James Turner","M","1766-12-20","NC","Republican",2,1811-11-04,1817-03-03
"Joseph Varnum","M","1750-01-29","MA","Republican",2,1811-11-04,1817-03-03
"Jean Destréhan","M","","LA","Unknown",2,1812-01-01,1813-03-03
"Allan Magruder","M","","LA","Republican",3,1812-01-01,1813-03-03
"Thomas Posey","M","1750-07-09","LA","Republican",2,1812-01-01,1813-12-31
"William Bibb","M","1781-10-02","GA","Republican",2,1813-05-24,1817-03-03
"Jesse Bledsoe","M","1776-04-06","KY","Republican",3,1813-05-24,1815-03-03
"William Bulloch","M","","GA","Republican",2,1813-05-24,1813-12-31
"David Daggett","M","1764-12-31","CT","Federalist",3,1813-05-24,1819-03-03
"Eligius Fromentin","M","","LA","Republican",3,1813-05-24,1819-03-03
"Abner Lacock","M","1770-07-09","PA","Republican",3,1813-05-24,1819-03-03
"Jeremiah Mason","M","1768-04-27","NH","Federalist",3,1813-05-24,1817-12-31
"James Schureman","M","1756-02-12","NJ","Federalist",1,1799-12-02,1801-12-31
"Richard Stockton","M","1764-04-17","NJ","Federalist",2,1796-01-01,1799-03-03
"David Stone","M","1770-02-17","NC","Republican",3,1801-12-07,1807-03-03
"David Stone","M","1770-02-17","NC","Republican",3,1813-05-24,1815-03-03
"Charles Tait","M","1768-02-01","GA","Republican",3,1809-05-22,1819-03-03
"William Wells","M","1769-01-07","DE","Federalist",2,1799-12-02,1805-03-03
"William Wells","M","1769-01-07","DE","Federalist",2,1813-05-24,1817-03-03
"William Barry","M","1784-02-05","KY","Republican",2,1814-01-01,1817-03-03
"Joseph Kerr","M","","OH","Republican",1,1814-01-01,1815-03-03
"Francis Locke","M","1776-10-31","NC","Unknown",3,1814-01-01,1815-12-31
"Jonathan Roberts","M","1771-08-16","PA","Republican",1,1814-01-01,1821-03-03
"Thomas Thompson","M","1766-03-15","NH","Federalist",2,1814-01-01,1817-03-03
"George Walker","M","","KY","Republican",2,1814-01-01,1815-03-03
"Jesse Wharton","M","1782-07-29","TN","Republican",2,1814-01-01,1815-12-31
"George Campbell","M","1769-02-09","TN","Republican",2,1811-11-04,1815-03-03
"George Campbell","M","1769-02-09","TN","Republican",1,1815-12-04,1819-03-03
"Samuel Dana","M","1760-02-13","CT","Federalist",1,1810-01-01,1815-03-03
"Samuel Dana","M","1760-02-13","CT","Federalist",1,1815-12-04,1821-03-03
"Christopher Gore","M","1758-09-21","MA","Federalist",1,1813-05-24,1815-03-03
"Christopher Gore","M","1758-09-21","MA","Federalist",1,1815-12-04,1817-03-03
"Outerbridge Horsey","M","1777-03-05","DE","Federalist",1,1810-01-01,1815-03-03
"Outerbridge Horsey","M","1777-03-05","DE","Federalist",1,1815-12-04,1821-03-03
"William Hunter","M","1774-11-26","RI","Federalist",1,1811-11-04,1815-03-03
"William Hunter","M","1774-11-26","RI","Federalist",1,1815-12-04,1821-03-03
"Timothy Pickering","M","1745-07-17","MA","Federalist",2,1803-10-17,1805-03-03
"Timothy Pickering","M","1745-07-17","MA","Federalist",2,1805-12-02,1811-03-03
"Isaac Tichenor","M","1754-02-08","VT","Federalist",1,1796-01-01,1797-03-03
"Isaac Tichenor","M","1754-02-08","VT","Federalist",1,1815-12-04,1821-03-03
"James Wilson","M","","NJ","Republican",1,1815-12-04,1821-03-03
"Eli Ashmun","M","1770-06-24","MA","Federalist",1,1816-01-01,1819-03-03
"Alexander Hanson","M","1786-02-27","MD","Federalist",1,1816-01-01,1819-12-31
"Martin Hardin","M","1780-06-21","KY","Federalist",2,1816-01-01,1817-03-03
"Robert Harper","M","","MD","Federalist",1,1816-01-01,1817-03-03
"Armistead Mason","M","1787-08-04","VA","Republican",2,1816-01-01,1817-03-03
"Montfort Stokes","M","1762-03-12","NC","Republican",2,1816-01-01,1823-03-03
"James Monroe","M","1758-04-28","VA","Anti-Administration",1,1790-01-01,1795-03-03
"James Burrill","M","1772-04-25","RI","Federalist",2,1817-12-01,1821-03-03
"William Claiborne","M","","LA","Democratic Republican",2,1817-12-01,1817-12-31
"John Eppes","M","1773-04-19","VA","Republican",2,1817-12-01,1819-12-31
"James Fisk","M","1763-10-04","VT","Republican",3,1817-12-01,1819-03-03
"Walter Leake","M","1762-05-25","MS","Republican",1,1817-12-01,1821-03-03
"David Morril","M","1772-06-10","NH","Republican",2,1817-12-01,1823-03-03
"Harrison Otis","M","1765-10-08","MA","Federalist",2,1817-12-01,1823-03-03
"Clement Storer","M","1760-09-20","NH","Republican",3,1817-12-01,1819-03-03
"John Williams","M","1778-01-29","TN","Republican",2,1815-12-04,1817-03-03
"John Williams","M","1778-01-29","TN","Republican",2,1817-12-01,1823-03-03
"Ninian Edwards","M","1775-03-17","IL","Republican",3,1818-01-01,1825-03-03
"Prentiss Mellen","M","1764-10-11","MA","Federalist",1,1818-01-01,1821-03-03
"William Palmer","M","1781-09-12","VT","Republican",3,1818-01-01,1825-03-03
"James Brown","M","1766-09-11","LA","Republican",2,1813-05-24,1817-03-03
"James Brown","M","1766-09-11","LA","Republican",3,1819-12-06,1823-12-31
"John Condit","M","1755-07-08","NJ","Republican",1,1803-10-17,1809-03-03
"John Condit","M","1755-07-08","NJ","Republican",2,1809-05-22,1811-03-03
"John Condit","M","1755-07-08","NJ","Republican",2,1811-11-04,1817-03-03
"John Elliott","M","1773-10-24","GA","Republican",3,1819-12-06,1825-03-03
"Rufus King","M","1755-03-24","NY","Federalist",3,1789-03-04,1795-03-03
"Rufus King","M","1755-03-24","NY","Federalist",3,1795-12-07,1797-03-03
"Rufus King","M","1755-03-24","NY","Federalist",3,1813-05-24,1819-03-03
"Rufus King","M","1755-03-24","NY","Federalist",3,1819-12-06,1825-03-03
"James Lanman","M","1767-06-14","CT","Republican",3,1819-12-06,1825-03-03
"William Logan","M","1776-12-08","KY","Republican",3,1819-12-06,1821-03-03
"Walter Lowrie","M","1784-12-10","PA","Republican",3,1819-12-06,1825-03-03
"Jonathan Mason","M","1756-09-12","MA","Federalist",1,1800-01-01,1803-03-03
"John Parrott","M","1767-08-08","NH","Republican",3,1819-12-06,1825-03-03
"Charles Pinckney","M","1757-10-26","SC","Republican",2,1798-01-01,1801-12-31
"James Pleasants","M","1769-10-24","VA","Republican",2,1819-12-06,1823-03-03
"Waller Taylor","M","","IN","Republican",3,1816-01-01,1819-03-03
"Waller Taylor","M","","IN","Republican",3,1819-12-06,1825-03-03
"William Trimble","M","1786-04-04","OH","Republican",3,1819-12-06,1821-12-31
"Freeman Walker","M","1780-10-25","GA","Republican",2,1819-12-06,1821-12-31
"John Walker","M","1783-08-12","AL","Republican",3,1819-12-06,1823-03-03
"David Holmes","M","1769-03-10","MS","Republican",1,1820-01-01,1825-12-31
"Elijah Mills","M","1776-12-01","MA","Adams",1,1820-01-01,1827-03-03
"Isham Talbot","M","","KY","Republican",3,1815-12-04,1819-03-03
"Isham Talbot","M","","KY","Republican",3,1820-01-01,1825-03-03
"James Barbour","M","1775-06-10","VA","Republican",1,1815-12-04,1821-03-03
"James Barbour","M","1775-06-10","VA","Republican",1,1821-12-03,1825-12-31
"Elijah Boardman","M","1760-03-07","CT","Republican",1,1821-12-03,1823-12-31
"James De Wolf","M","1764-03-18","RI","Republican",1,1821-12-03,1825-12-31
"William Findlay","M","1768-06-20","PA","Jackson",1,1821-12-03,1827-03-03
"William Pinkney","M","1764-03-17","MD","Republican",1,1819-12-06,1821-03-03
"William Pinkney","M","1764-03-17","MD","Republican",1,1821-12-03,1823-03-03
"Philip Reed","M","","MD","Republican",3,1806-01-01,1813-03-03
"Robert Wright","M","1752-11-20","MD","Republican",3,1801-12-07,1807-03-03
"Ethan Brown","M","1776-07-04","OH","Republican",3,1822-01-01,1825-03-03
"William Kelly","M","1786-09-22","AL","Republican",3,1822-01-01,1825-03-03
"James Lloyd","M","","MA","Federalist",1,1808-01-01,1813-12-31
"James Lloyd","M","","MA","Adams",2,1822-01-01,1827-03-03
"Caesar Rodney","M","1772-01-04","DE","Republican",1,1822-01-01,1823-12-31
"John Taylor","M","1753-12-19","VA","",2,1792-01-01,1795-03-03
"John Taylor","M","1753-12-19","VA","Republican",1,1803-10-17,1803-12-31
"John Taylor","M","1753-12-19","VA","Republican",2,1822-01-01,1825-03-03
"John Chandler","M","1762-02-01","ME","Republican",2,1820-01-01,1823-03-03
"John Chandler","M","1762-02-01","ME","Jackson",2,1823-12-01,1829-03-03
"Henry Edwards","M","","CT","Jackson",1,1823-12-01,1827-03-03
"Joseph McIlvaine","M","1769-10-02","NJ","Adams",1,1823-12-01,1827-03-03
"Jesse Thomas","M","","IL","Republican",2,1818-01-01,1823-03-03
"Jesse Thomas","M","","IL","Adams",2,1823-12-01,1829-03-03
"Nicholas Van Dyke","M","1770-12-20","DE","Federalist",2,1817-12-01,1823-03-03
"Nicholas Van Dyke","M","1770-12-20","DE","Adams",2,1823-12-01,1827-03-03
"Nicholas Ware","M","","GA","Republican",2,1821-12-03,1823-03-03
"Nicholas Ware","M","","GA","",2,1823-12-01,1825-03-03
"Thomas Williams","M","","MS","Republican",2,1817-12-01,1823-03-03
"Thomas Williams","M","","MS","Jackson",2,1823-12-01,1829-03-03
"Charles Bouligny","M","1773-08-22","LA","Adams",2,1824-01-01,1829-03-03
"Thomas Cobb","M","","GA","Jackson",2,1824-01-01,1829-03-03
"David Barton","M","1783-12-14","MO","Republican",3,1821-12-03,1825-03-03
"David Barton","M","1783-12-14","MO","Adams",3,1825-12-05,1831-03-03
"Henry Chambers","M","1790-10-01","AL","Jackson",3,1825-12-05,1827-03-03
"John Gaillard","M","1765-09-05","SC","Republican",3,1804-01-01,1807-03-03
"John Gaillard","M","1765-09-05","SC","Republican",3,1807-10-26,1819-03-03
"John Gaillard","M","1765-09-05","SC","Republican",3,1819-12-06,1825-03-03
"John Gaillard","M","1765-09-05","SC","Jackson",3,1825-12-05,1827-03-03
"Edward Lloyd","M","1779-07-22","MD","Republican",3,1819-12-06,1825-03-03
"Edward Lloyd","M","1779-07-22","MD","Jackson",3,1825-12-05,1827-03-03
"Nathaniel Macon","M","1757-12-17","NC","Republican",3,1815-12-04,1819-03-03
"Nathaniel Macon","M","1757-12-17","NC","Republican",3,1819-12-06,1825-03-03
"Nathaniel Macon","M","1757-12-17","NC","Jackson",3,1825-12-05,1829-03-03
"William Marks","M","1778-10-13","PA","Adams",3,1825-12-05,1831-03-03
"John Rowan","M","1773-07-12","KY","Jackson",3,1825-12-05,1831-03-03
"Calvin Willey","M","1776-09-15","CT","Adams",3,1825-12-05,1831-03-03
"Ephraim Bateman","M","1780-07-09","NJ","Adams",1,1826-01-01,1829-12-31
"William Harper","M","1790-01-17","SC","Jackson",3,1826-01-01,1827-03-03
"Israel Pickens","M","1780-01-30","AL","Jackson",3,1826-01-01,1827-03-03
"Daniel Rodney","M","1764-09-10","DE","Adams",2,1826-01-01,1827-12-31
"Nathan Sanford","M","1777-11-05","NY","Republican",1,1815-12-04,1821-03-03
"Nathan Sanford","M","1777-11-05","NY","Adams",3,1826-01-01,1831-03-03
"William Smith","M","","SC","Republican",2,1816-01-01,1823-03-03
"William Smith","M","","SC","Jackson",3,1826-01-01,1831-03-03
"Isaac Barnard","M","1791-07-18","PA","Jackson",1,1827-12-03,1831-12-31
"John Eaton","M","1790-06-18","TN","Republican",1,1818-01-01,1821-03-03
"John Eaton","M","1790-06-18","TN","Jackson",1,1821-12-03,1827-03-03
"John Eaton","M","1790-06-18","TN","Jackson",1,1827-12-03,1829-12-31
"Powhatan Ellis","M","1790-01-17","MS","Jackson",1,1825-12-05,1827-03-03
"Powhatan Ellis","M","1790-01-17","MS","Jackson",1,1827-12-03,1833-03-03
"Louis McLane","M","1786-05-28","DE","Jackson",1,1827-12-03,1829-12-31
"James Noble","M","1785-12-16","IN","Republican",1,1816-01-01,1821-03-03
"James Noble","M","1785-12-16","IN","Adams",1,1821-12-03,1827-03-03
"James Noble","M","1785-12-16","IN","Adams",1,1827-12-03,1831-12-31
"Albion Parris","M","1788-01-19","ME","Jackson",1,1827-12-03,1829-03-03
"Henry Ridgely","M","1779-08-06","DE","Jackson",2,1827-12-03,1829-03-03
"Benjamin Ruggles","M","1783-02-21","OH","Republican",1,1815-12-04,1821-03-03
"Benjamin Ruggles","M","1783-02-21","OH","Adams",1,1821-12-03,1827-03-03
"Benjamin Ruggles","M","1783-02-21","OH","Adams",1,1827-12-03,1833-03-03
"Horatio Seymour","M","1778-05-31","VT","Adams",1,1821-12-03,1827-03-03
"Horatio Seymour","M","1778-05-31","VT","Adams",1,1827-12-03,1833-03-03
"Samuel Smith","M","1752-07-27","MD","Republican",1,1803-10-17,1815-03-03
"Samuel Smith","M","1752-07-27","MD","Jackson",1,1822-01-01,1827-03-03
"Samuel Smith","M","1752-07-27","MD","Jackson",1,1827-12-03,1833-03-03
"Jacob Burnet","M","1770-02-22","OH","Adams",3,1828-01-01,1831-03-03
"James Iredell","M","1788-11-02","NC","Jackson",3,1828-01-01,1831-03-03
"Oliver Prince","M","","GA","Jackson",2,1828-01-01,1829-03-03
"Andrew Jackson","M","1767-03-15","TN","Republican",1,1797-05-15,1799-03-03
"Andrew Jackson","M","1767-03-15","TN","Democratic Republican",2,1823-12-01,1825-12-31
"Samuel Bell","M","1770-02-09","NH","Adams",2,1823-12-01,1829-03-03
"Samuel Bell","M","1770-02-09","NH","",2,1829-12-07,1835-03-03
"George Bibb","M","1776-10-30","KY","Republican",2,1811-11-04,1815-03-03
"George Bibb","M","1776-10-30","KY","Jackson",2,1829-12-07,1835-03-03
"Mahlon Dickerson","M","1770-04-17","NJ","Republican",2,1817-12-01,1823-03-03
"Mahlon Dickerson","M","1770-04-17","NJ","Jackson",2,1823-12-01,1829-03-03
"Mahlon Dickerson","M","1770-04-17","NJ","Jackson",1,1829-12-07,1833-03-03
"Charles Dudley","M","1780-05-23","NY","Jackson",1,1829-12-07,1833-03-03
"Theodore Frelinghuysen","M","1787-03-28","NJ","Anti-Jacksonian",2,1829-12-07,1835-03-03
